comment,author,date,like_count
"many people are pore because they are stupid, make bad decisions, and among other things they don&#39;t have integrity but don&#39;t confuse that word with false pride. most rich people i know work harder than anyone els but also smarter, many work 16+ hours a day. this Asian concept of rich is misleading and if you believe this premise you will be the same. i have seen many rich and ultra rich people loose it all through war or other cataclysmic event. it dos not take long the go right back to the top starting from the absolute bottom with nothing. those are the people you need to observe if you want to succeed. they are friendly appreciate hard work and WILL help anyone who puts in the effort they don&#39;t see colour, how much you have or who&#39;s family you belong too. the rich people in this movie are not the norm. and they are not what they seem either. plus there wealth may just be transitory only to disappear in the obscurity with one bad gamble, stupid family member or economic change.  these are communistic ideas of what successful people are designed to keep you poor. they are bait, the gatekeepers of sorts that hold people back.",Vince,2023-05-22T11:57:10Z,0
love this vid,plssmorii,2023-05-22T11:02:54Z,0
This was the last film I saw in theaters before covid lockdowns. Pretty hard for anyone to ignore the effects of late stage capitalism that following year.,Toy Pianos,2023-05-22T10:08:00Z,0
So? Get better and make more,Lee Kyu,2023-05-21T10:50:48Z,0
can you buy a real mic... ? we hear the echo from your room and it&#39;s like you are 3 meters away from it...,Solakend end,2023-05-20T20:25:22Z,1
"Parasite will always kills the host. When the host dies, the parasite will die too.",Baka Leader,2023-05-20T16:51:11Z,0
Defeating the Soviets came with a price I say,Chronoire,2023-05-19T05:22:40Z,0
"westerner interpreting a film thats talks about intricacies of korean culture and society. so funny, “late stage capitalism”, haha. sweet summer child…",Marcus Aurelius,2023-05-18T12:34:52Z,0
I love capitalism,Dennis Reynolds,2023-05-18T10:40:54Z,0
Life is merciless and brutal. One should never look at life with rose colored glasses.,All about Narcissism,2023-05-17T16:44:23Z,0
"can a parasite, parasite off a parasite?",Tyler Tono,2023-05-16T19:50:36Z,0
"Sounds intelligent, but really a 1 dimensional analysis that heavily projects ideology into a film which was much more nuanced.",BitcoinRuss,2023-05-16T14:32:46Z,1
a lot of people are waking up and figuring this out.,John Edwards,2023-05-16T03:10:16Z,0
Recent events show that the government (neither party) have the backs of average Americans.  Contrast the instant bail out of SVB while East Palestine burned toxic chemicals to get the railway back up and running.  The government is actively trying to limit free speech and control information.   The middle class is going and that should terrify you.,Eric Amd1,2023-05-16T00:26:32Z,0
"I believe her point is to explain where religious prohibitions come from an attempt to manage vectors of impurity. The reason that one can see that this is not purely practical is that social constructs determine what forms impurity. For example in Judaism, even a woman&#39;s monthly menses is viewed as ritually impure. (At least that&#39;s what I heard from great courses.)",Shannon Starr,2023-05-15T12:22:40Z,0
That&#39;s why more people are letting it rot,Emon Salt,2023-05-12T11:13:49Z,0
"The comparison of capitalism and a factory is totalitarian regime society is just retarded. This is an argument that needs to be made in a capitalist society, were you have also the factories and rules of the country. Only then is valid",Shinigami,2023-05-11T13:14:22Z,0
"its hilarious for multiple reasons: moviemakers get a shitload of money while sexually assaulting their coworkers and mentally harrasing them. secondly, we havent lived in capatilism for a looooooong time, financially literate people understand that we now live in creditism.<br>I also wonder, if you cant move in social standing, why is your monthly patreon income hidden instead of displayed on your page like it does for rich people who teach finance literacy on youtube?",Michaël Verrept,2023-05-11T10:30:35Z,0
But socialism is the problem,Anthony James,2023-05-11T10:17:34Z,0
Did you even watch the video?,Victor,2023-05-16T06:31:09Z,0
"What are you talking about, capitalism is the problem",sised,2023-05-14T12:10:01Z,0
I shudder at their bathroom.  The toilet got to be higher level than the street because they already live at sewage level.,Donald Donald,2023-05-10T16:26:36Z,0
Capitalism is probably the least worst system.,Philippe Couture,2023-05-09T19:07:03Z,1
"There are 5 economic systems, the second best is capitalism, the best is communism. The rest are complete dogshit",sised,2023-05-14T12:10:35Z,0
The family breathing in the poisonous fumigation gases horrified me.,Hydro Aegis,2023-05-09T07:31:49Z,0
"The world we now live in!!!!   Where have you been for at least the past century? Would for example Ford Motor Company exist without it.  Would the middle class grow without it.  I hate it when people use capitalism as the argument against everything bad, as we haven’t really shown any better way.  The truth is that our current way of capitalism is greed gone mad and we need ethical capitalism where the CEO  doesn’t make 2000 times more then the lowest earner.   The movie shows you what’s wrong with our current form of capitalism but until we find a better way, the only solution is to fix the greed within this system.",Haku Kuze,2023-05-09T05:28:47Z,0
와 미쳤다,Cho o,2023-05-08T14:53:03Z,0
"cultural hegemony is so evil and real. makes you believe there is such thing as perfect or normal when in reality, that ideality is built off the sweat and unfair work of so many people. it is the furthest thing to want to be. the western white ideal is the western evil ideal.",EZCognition,2023-05-08T04:45:41Z,0
This Mo one was good I lied the nooditty,enjoy sack lunch,2023-05-07T17:24:51Z,0
Hegelian dialectic,Feels,2023-05-07T16:42:56Z,0
Glad I listened to this so I won&#39;t have to watch the stupid movie !,Rheanon Jasmyne,2023-05-07T14:38:56Z,0
"<a href=""https://www.youtube.com/watch?v=zgAK-4kPTb8&amp;t=12m47s"">12:47</a> fucking BARS",khal,2023-05-07T13:39:53Z,0
"In a fair and level transaction, neither are parasites, both receive something positive in the end. When a part of the transaction has to be withdrawn to support inefficient state policies and projects, the real parasite of today&#39;s society appears, the enormous state burden. If we try to regulate and tax more to try to balance the equation, we are actually creating more and more jobs for bureaucrats while the problems are made even worse. I believe that state spending should be somewhere around 15%, not the exorbitant numbers we have today. And all this with promises of a better world. Better for whom?",Renato N F — Realism Artist,2023-05-06T22:05:09Z,0
Dad would say NEVER say SHOULD. So basically they’re admitting this doesn’t terrify them because they’re cowards who play rigged games with loaded dice. “God doesn’t play dice.” Yeah ‘God’ rigs dice. Duh.,Scott's Precious Little Account,2023-05-06T03:41:06Z,0
The message of Parasite is that the rich are the real parasites on society.,Lucky 13,2023-05-05T12:12:49Z,3
Finally someone gets it,sised,2023-05-14T12:11:09Z,1
"So in other words, capitalism bad. That’s all you took from the movie, eh? Wow, so insightful.",JustSomeGuyWhoWantsAMustache,2023-05-03T13:04:31Z,0
Yes. The sentence &quot;Capitalism is bad&quot; carries more information and meaning than 10 alexandrian libraries,sised,2023-05-14T12:11:44Z,0
"Parasites must have been based on LA. Where the wealthy live in gated communities away from the poor. While the poor live in ghettos but take up jobs to make the lives of the rich easier, all while hating their guts.",Get off my grass,2023-04-29T19:25:22Z,1
Omg shutup with this pedantic nonsense. Parasite is an anti American propaganda film. Grow up. Recognize the cultural exports of spiteful mutants and then reject!,anonymous anonymous,2023-04-29T10:29:27Z,0
"Anti americanism is super based. The US is not a country, its a terrorist organization run by dogs",sised,2023-05-14T12:12:24Z,0
"How can anyone argue that hard work will get you somewhere in life?!? Come on people, quit allowing all these social construct making loons to fill your head with actual excuses that WILL GET YOU NOWHERE!",Arcana,2023-04-29T09:41:10Z,0
People who say that there&#39;s no issue with wealth inequality in the west are lying to themselves. So are the people who say that social mobility doesn&#39;t exist.,Soren Axelson,2023-04-28T18:25:00Z,1
"I just wanna say this is a good title. tbh I had no intention of watching, I was just scrolling looking for what to watch and when I saw this title I automatically said WHY and decide to watch...",Leonor Ie,2023-04-28T15:01:24Z,1
You can escape it by not caring about how others judge your status. You should be able to know what things makes you a better person. <br><br>For example morality&gt;wealth. As long as you&#39;re not compromising your moral values you should be sure that you&#39;re living high value life even if you&#39;re poor.<br><br> Be so much confident in your meaning of life that others can&#39;t dictate what your life should be like and they become confused and forced to rethink about their lives.,M Haris,2023-04-28T09:39:41Z,0
"As someone from Asia. Subjugation of someone preciving as lessers are far too common.  The lower class did not revolt, rather it had accepted the rule. They themselves are not innocent of their own suffering, they are actually the perpetrator of inequality. Such is the social structure of south-east Asia. They are bidding on their kids to be successful so that they themselves will be the oppressor. Most asians nowadays won&#39;t have kids because they can&#39;t care for them proper and there is no hope for them to increase their relative social status against another. The wealthy had leveraged their wealth against their nation and now Asia is a mess because of it.",kang C,2023-04-27T18:20:35Z,0
versus what other option?,Allin7days,2023-04-27T00:32:19Z,0
"Only idiots are terrified. The West movie industry is now just another form of political propaganda, just like China.",Heng Zhou,2023-04-26T03:05:02Z,0
Average story,Morrison Morris's,2023-04-23T08:11:15Z,1
Too many people mistake this movie for a watered down “rich bad poor good” cliche message. There was so much more to say in the movie.,Phillip Isayev,2023-04-23T07:26:09Z,0
The movie is about determining who is the parasite<br>Dumb people will say it was the fraudulent family<br>Smart people will know its the rich family,sised,2023-05-14T12:13:56Z,0
"This movie is just “rich bad poor good” cliche, nothing more.",Heng Zhou,2023-04-26T03:06:49Z,0
"Many ignorant comments in the comment section. If you don&#39;t know how Korean society is, simply go study.",Commento YouTube,2023-04-22T05:06:21Z,0
"Yeah democracy and elitism is satanism. If you are reading this right now, it doesn&#39;t matter who you are or what you have done in your life, if you are currently reading this, please be saved today, there&#39;s no more time to waste, time to waste is up and done! It&#39;s the best decision you&#39;ll make in your entire eternity; accepting CHRIST JESUS as your LORD AND SAVIOUR KING GOD MESSIAH and EVERYTHING! This is the Gospel; The LORD KING JESUS CHRIST loves you so so much that He came down from Heaven, lived the perfect life that we cannot live by ourselves, He died on a cross at Calvary for you, me, and ALL of us and ALL of our sins, and He rose again from the grave 3 days afterwards, conquering death, hell, sin, the devil, all evil, and condemnation. He&#39;s waiting for you to accept Him and come to Him with open arms in a genuine personal relationship and there&#39;s no other love ever like His since He loves you eternally and infinitely so believe in the LORD GOD KING JESUS CHRIST YESHUA HAMASHIACH, receive His HOLY SPIRIT that will dwell in you, change you, lead you, guide you, and be your absolute best friend as GOD the HOLY SPIRIT just alongside CHRIST JESUS the Son Of GOD, GOD incarnate, also finally GOD the FATHER, which those 3 together make the HOLY TRINITY; GOD THE FATHER YHWH JEHOVAH, GOD THE SON CHRIST JESUS YESHUA HAMASHIACH, AND GOD THE HOLY SPIRIT, the one and only true GOD. I love you but nowhere near as much as GOD. Repent by believing in the LORD GOD KING JESUS CHRIST and thou shalt be saved, and once you tell JESUS that you believe in Him and genuinely trust in Him by inviting Him into your heart, you are sealed unto the Day of Redemption and you cannot lose your salvation in CHRIST JESUS and He will help you live for Him with His HOLY SPIRIT Amen, the Rapture is the Day of Redemption also which is so extremely very soon and He does not want you or anybody to be left behind nor me nor you do. GOD bless you and KING JESUS CHRIST IS LORD GOD. ✝️👑🦁🕍💒🙌🏻🙏🏻❤️❤️‍🔥💞💯💖<br><br>John 3:16 (KJV) - 16 For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.<br><br>John 14:6 (KJV) - 6 Jesus saith unto him, I am the way, the truth, and the life: no man cometh unto the Father, but by me.<br><br>Romans 10:9-10 (KJV) - 9 That if thou shalt confess with thy mouth the Lord Jesus, and shalt believe in thine heart that God hath raised him from the dead, thou shalt be saved. 10 For with the heart man believeth unto righteousness; and with the mouth confession is made unto salvation.<br><br>Ephesians 2:8-9 (KJV) - 8 For by grace are ye saved through faith; and that not of yourselves: it is the gift of God: 9 Not of works, lest any man should boast.<br><br>1 Timothy 2:5 (KJV) - 5 For there is one God, and one mediator between God and men, the man Christ Jesus;<br><br>Revelation 1:7-8 (KJV) - 7 Behold, he cometh with clouds; and every eye shall see him, and they also which pierced him: and all kindreds of the earth shall wail because of him. Even so, Amen. 8 I am Alpha and Omega, the beginning and the ending, saith the Lord, which is, and which was, and which is to come, the Almighty.",Brother Cameron (MuKenshi),2023-04-17T08:33:30Z,0
It was good until you showed what a white American woman you are,issecret1,2023-04-11T11:08:09Z,0
LUL,Edward Yeung,2023-04-10T11:15:25Z,0
Once i was rich and poor.<br>Being rich is better than being poor.,Zé Mundico,2023-04-08T20:56:14Z,0
I would rather kms than be a parasite,sised,2023-05-14T12:14:39Z,0
One of the best psychological thriller  i have watch. Highly recommended,Emmerdale,2023-04-06T05:18:21Z,1
"Marxoids inevitably have their origins in the vilest of the bourgeoisie, and naturally they miss the point that they are just like the pernicious low-class scum to whom they condescend.",Edgar Hayduke,2023-04-04T15:48:01Z,0
After seeing this movie <br>I realized the poor are parasites,Almost God,2023-04-04T13:40:33Z,0
This was not the message,sised,2023-05-14T12:14:57Z,0
Always be same the master and the slave mentality.,Frederick Anderson,2023-04-04T09:51:27Z,0
"What got to me was that once each of the Kim family members gained jobs, the only things they did differently were: eat better quality food daily, &amp; treat themselves to eating out occasionally. The premise is that the &quot;poor&quot; aren&#39;t looking to all gain wealth; just the means to survive,eat well, &amp; have some dignity.",Hank Kimball,2023-04-04T08:00:50Z,2
"This was an interesting idea of how everyone wants to be the ruling class, but the reality is that the majority of people in developed countries are in the middle class today, not the lower class.",Jim,2023-04-04T01:59:58Z,0
"parasite is a very well written movie It talks about power, greed and hope,it says that how humans are capitalist by nature, That a person only thinks about himself that when a poor family has power, they will not help other poor but will only think about themselves, There is a power hierarchy in the society and the one who has more power, he considers the one with less power as a filth. This film talk about privilege also that a higher class person gets everything but a lower class person has to work 10 times more to get that, Everything in this film was well balanced there is no villain in this film the real villain is the situation<br>Yes bong didn&#39;t give any reason for &quot;all or nothing&quot; but that&#39;s the whole point that&#39;s why it feels surprising,The murder of Mar Park by Mar kim was a very psychological act,The murder of Mar Park by Mar Kim is very surprising and to understand it, you need to understand the psychology of Mar Kim.<br>Kim never wanted to kill Park, it was the situation that led to this act,Jealousy and anger have already boiled over in Kim&#39;s mind against Park,And it&#39;s shown in a very subtle way,He used to respect the park a lot, but later he came to know that he just thinks of him as a worker who stinks alot This thing was deeply disturbing to Kim inside,A big truth was already revealed in front of Kim(secret bunker),And right after that he heard Mr. Park say about himself that he stinks, and later her whole house got washed away by the rain all trouble came upon him in one night Still, he has to go to work in the morning, where the Park family is about to enjoy a birthday party But still the park treats him like a worker wo stinks they are completely unaware of his problem,Even when geun se killed Kim&#39;s daughter, Park was only thinking about his son and he should logically think about his son first But Kim felt bad for this work of Park because of his hatred, when Park shrunk his nose to avoid the smell, then Kim felt worse,in that situation, his suppressed hatred and jealousy came out in the form of anger, which led to the murder of the <a href=""http://park.kim/"">park.Kim</a> had no Big reason to kill Park and he never want to kill mr Park it just happened to him like a DREAM a BAD DREAM And he got punished for this because he did wrong he had to leave his family and stay in the bunker and later he also apologized to the park, but now nothing is going to happen with this apology, crime was already committed now he will have to atone for it ,this shows the jealousy and hatred of the lower class against the higher class, And the movie never justifies Kim&#39;s crime,Kim was not a psycho killer, he was a normal person, he committed this crime, which he regrets, but now nothing is going to happen by regretting,In the last, a conversation between a father and son is shown which is very emotional, a son will never consider his father a criminal He also knows that my father is not such a person, but nothing can happen now,In the end, the film ends on Hope, despite all this, ki woo never stops hoping,I don&#39;t know whether he will be able to get that house or not, but God bless him to buy such a house so that when it rains next time, he can enjoy it with his family like mr park does.<br>Both families were not parasite in this film the real parasite was human greed,hatred, jealousy and situation",G Chudasama Darshit,2023-03-27T02:51:39Z,2
"The use of lines and stairs in this movie is used heavily. Certain characters stand away, below, or above others and you know who&#39;s in power during those conversations. When the family escape the house to run back and find their apartment flooded, they go down endless staircases. They go deep below the ground while the Parks are high above the downpour. It&#39;s a show not tell moment in the film that speaks volumes. Also worth noting is at the exact middle of the movie is when the genre changes.",Ebbie,2023-03-26T00:50:35Z,0
Kang ho sang is one of my favorite actors!!! What a man,Eva Osirus,2023-03-24T16:26:16Z,0
"It&#39;s easy to criticize the combination of western capitalism and democracy. But they are not to be frowned upon. As imperfect as they are, it is the best way of living we have found so far. I think Bong Joon-ho did a great job of portraying the ambivalent imperfection, but this video essay reads it a bit more from the left that i think he intended it be viewed. I think what makes it masterful is precisely that when its all over is hard to side with a particular family. And therefore a particular ideology",Arturo De la Rosa,2023-03-18T11:00:24Z,0
Good for who ?,Vinicamps,2023-04-03T17:36:03Z,0
Yep.,tom gu,2023-03-26T15:43:08Z,0
Those who advertise capitalism like joarden peterson and ben shapiro are pure evil,Hay In,2023-03-18T02:04:00Z,0
"It is a beautiful movie showing the contrasts between the rich and poor, and what lengths the poor have to go to survive, and even then, still denied respect.",Ch50304,2023-03-17T19:59:35Z,0
Terrible orator,j S,2023-03-17T14:18:35Z,0
Vei înceta să o faci darck prin răutate când vei realiza fizica cuantica bumerang,Minnie Fantasia,2023-03-17T04:33:36Z,0
Bro what is with these black seconds of nothing…make those cuts quicker…there was like 8 of them,Gary Hayden,2023-03-16T18:46:44Z,0
Contemporary capitalism no longer exists.  We can only witness the crony capitalist system fall apart in front of our eyes.  The fascist liberals have officially taken over our free society.  We were only able to hang on to it for around 100 years.  We lost freedom in 1913,BCHonea,2023-03-15T22:59:09Z,0
I don&#39;t know why YouTube keeps suggesting me these shallow videos.,utsab gangopadhyaya,2023-03-15T18:30:21Z,1
To keep people shallow minded,hmnc,2023-04-26T12:05:07Z,0
The future of the middle class.,Keresian,2023-03-14T15:59:07Z,0
"There is no such thing as a middle class. There are 2 classes, proletariat and bourgeoisie. Proletariat are 99% of the human population",sised,2023-05-14T12:15:34Z,0
"myyyy gooood, girl! I missed some good cultural theory class. but really, the background music just made me nauseous.",Iulia Sima,2023-03-14T14:03:58Z,0
"많은 미국 관객들이 쉽게 지나치는 인디언 파티 부분도 말하고 싶다. 둔감해진 것인지 쉽게 외면하는 것 같다. 하지만 이 영화에서 자주 나오는 인디언은 감독의 의도가 다분한 상징성이 있다고 생각된다.<br><br>비가 와도 끄떡없는 인디언 캠프. 아동들이 그저 놀이도구로 배우는 인디언 문화. 하지만 실제 인디언들의 비극적인 역사는 무시한다. <br><br>그것은 누군가에게 비극적인 부분이 누군가에겐 그저 재미난 소비일 뿐이란 사실. 마치 부잣집 사모님이 &quot;비가 많이 와서 공기가 상쾌해져서 좋네.&quot; 라고 말하는 것과 같은 맥락. <br><br>만약에 예를 들어 미국을 식민지화하고 미국 인종을 말살해버린 어떤 강한 국가가 있었다고 상상하자. 그런데 훗날 그 국가가 카우보이 모자를 자신들 국가의 유치원생 놀이 정도로 소비하고 있다면? <br><br>그래서 영화 후반부에 송강호가 인디언 모자를 쓰고 지긋이 관객을 응시하는 장면이 나온다. 생일 파티에나 소비되는 인디언 모자. 기생충이 처한 현실이 과연 한국만의 문제일까. 미국, 유럽 국가들은 거기에서 자유롭냐고 질문하는 것처럼. 송강호는 시선은 한동안 관객을 향한다.<br><br>미국의 부유함에는 못사는 국가들의 기생충 역할도 한몫했다. 유럽의 부유함에는 식민지 국가들의 기생충 역학도 한몫했다. 그런 미국, 유럽 국가는 후진국에게 이제 선을 넘지말라고 말한다. 이민자는 이제 그만 오라면서...백인들 파티에 선을 넘는 냄새나는 다른 유색 인종들을 초대하고 싶지 않는다.",우왕,2023-03-14T07:18:23Z,1
Beautiful,Sooner Prophet,2023-03-14T03:44:07Z,0
Dude is named Bong?,Bumper Cat,2023-03-14T02:06:27Z,0
terrify these nuts🎉,MikeWahod,2023-03-13T18:51:41Z,0
"Very, very annoying music in the background!",Yaseen spec,2023-03-13T10:22:37Z,0
"Idk bashing capitalism but most of us watching have roofs over our heads, cloths, food. I’m just saying it ain’t all bad",J. Firdaus,2023-03-12T19:56:11Z,0
For you who gets superprofits. Go live in a semi periphery or even periphery country and see how &quot;good&quot; capitalism is,sised,2023-05-14T12:16:08Z,1
"Socialistic components and societies provide those &quot;traits&quot; for all, not capitalism, if its was due to capitalism, we would be all renting houses. Ex socialistic eastern countries have have strange fact taht arround 90% of inhabitants own the place, and in capitalistic west its under 50%. Those are facts.",Be Loaded,2023-03-13T14:41:35Z,1
If you dont produce and only consume then your a parasite. period,Alfonso72,2023-03-12T18:19:25Z,1
"@Alfonso72 if you&#39;ve read marx then you know rich people are parasites, unless all you read was the manifesto, in that case get back to reading. Also im a communist",sised,2023-05-14T13:17:15Z,0
"@sised   i did read already. Anyways, no point. Obviously your a populista.",Alfonso72,2023-05-14T12:52:36Z,0
"@Alfonso72 read karl marx, educate yourself",sised,2023-05-14T12:34:49Z,0
"@sised   Read &quot;Atlas Shrugged&quot;, educate yourself.",Alfonso72,2023-05-14T12:30:16Z,0
You just perfectly described rich people,sised,2023-05-14T12:17:04Z,0
"I think the blame lies 70% China’s communism and 30% capitalism. Americans should know better not to use Chinese labor because of unethical treatment of Chinese citizens, and China is a terrible government which allows the unethical treatment. But let’s not try to push all the blame on Americans either, Australia does 90% of business with China, and Europe does just as much as America. The problem with capitalism is it will always default to the lowest labor. The problem with communism is it doesn’t care about its labor.",Riley Sligting,2023-03-12T16:21:49Z,0
The rich are not evil. Please stop hating on people who do more with their life than you because they don’t simply give all the wealth that they have away. Find contentment in where you are at and grind harder.,Jon Borton,2023-03-12T12:58:38Z,2
"The rich are not ONLY evil, they are parasites. The wealth they have is not earned, its stolen. Nobody would steal something and give it back. What needs to happen is not for them to give us back our rightfully owned wealth, but for us to take it via force, aka, guns and bullets.",sised,2023-05-14T12:18:21Z,0
The poor class is you watching this film and the upper class is the people that made the movie,Road Rat,2023-03-12T03:46:46Z,1
&quot;Cleanliness and hygiene are social constructs&quot;,Joseph McCarthy,2023-03-11T03:49:03Z,0
​@Riley Sligtingexactly 😂,hmnc,2023-04-26T12:07:23Z,0
Try telling that to your doctor.,Riley Sligting,2023-03-12T16:24:29Z,1
"How much money did you make from this video? 5.4m views, maybe a few thousand? You run a successful YouTube channel, how much money do you make from it? Potentially even more than the Park family in this movie.<br><br>Is your method of income any more righteous than that of the Park family? Do you deserve your wealth any more than them? Of course you do you might say, you built this from the ground up with your own creative effort and labour. You didn&#39;t exploit anyone to get to where you are (hopefully).<br><br>And that&#39;s exactly the point isn&#39;t it? Your entire argument in this video is based on a flawed premise. People ARE presented with the opportunities and means to become just as wealthy as the rich family portrayed in this movie. From nothing they CAN rise above their class with hard work and effort just like you discounted in your video.<br><br>These kind of videos do nothing but provide people who are abjectly lazy and unambitious with an excuse to wallow in their present situations",Arthur Hastings,2023-03-11T00:57:03Z,1
Spot on. People need to stop being victims and start working with that they have.,hmnc,2023-04-26T12:08:35Z,0
Lol did she say it&#39;s a bad thing democracy is being used as a metric for a fair and just society?,Hypothetical Single Woody,2023-03-10T04:10:26Z,2
I’m scared by how lame of a movie this is.,PARER'S PLACE,2023-03-09T16:09:10Z,2
Its a masterpiece,sised,2023-05-14T12:19:54Z,0
you said something which bugs me<br>&quot;capitalism reduces us down to what we can sell our labor for&quot;(socialist/communist talking point)<br>this is only true if all you value is money which is kinda ironic<br>somehow socialists cares more about money than a capitalist<br>there are people who volunteer are they worthless? or are they rich? <br>how about the emotional rewards of your dream job?,Jay Tang,2023-03-09T15:58:58Z,1
"The social injustice pointed out in Parasite have been around for thousands of years. Fact is it’s better today than in the past. It’s still not good but we as a species are getting better at it. Poor people today have the same access to technology (phone) as wealthy people have to a large extent. That hasn’t been the case in the past. Wealthy people could afford a car, poor people watched it go past.",The wine mouse.,2023-03-09T06:42:27Z,0
The title should be why I’m a socialist,Yt User,2023-03-09T01:24:30Z,2
Loved the Gramsci and cultural hegemony explanation! So on point and relevant !,Basil Kim,2023-03-08T20:41:00Z,0
"My favorite moment that made this High-class - Low-class contrast was when the mother asked for Ramen to be made and expensive meat thrown in it<br><br>Like, ramen by itself is already delicious and adding expensive meat might taste good but it&#39;s completely unnecessary and you can tell how indifferent to reality and life itself they are with such a simple scene where they have to make a dish<br><br>Binging with babish replicates this dish and comments on it",Tu Amigo y Vecino Leví,2023-03-08T06:13:27Z,0
"I didn&#39;t see the message that the &quot;rich family&quot; were parasites at all. Throughout the movie the guy is shown to be a ceo, apparently competent and conscentious, while the wife is tone deaf but otherwise good spirited. What i got was that the dad in the &quot;poor family&quot; couldn&#39;t tolerate the polite, but obvious, despise that the rich guy - not even his wife, that as a i said was barely a little tone deaf - had towards him. The constant hints about not passing &quot;the limit&quot;, the smell, the request to partecipate in the son&#39;s birthday only to &quot;remind&quot; him that it was work, etc. That, imho, is also the only way it justify such a final violent reaction. IT is not some imaginary revenge of the workers, it is a man that felt angry and humiliated, asked to abandon his dying daughter to help once again the rich guy, just because he is being payed. And yeah, of course it is more nuanced than that but we are talking about an emotional reaction.",Origami84,2023-03-08T02:25:03Z,0
Why is &quot;who really are the parasites&quot; even a question🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,Dhir C35,2023-03-07T23:22:25Z,2
"I live in a poor village, poor people always try to exploit you",Leucio Iannace,2023-03-07T09:20:28Z,1
Gosh that background song can make anyone go mad,Pablo Lopez,2023-03-07T09:04:35Z,0
The subtitles are unreadable,Mareșalul Antonescu,2023-03-07T08:18:56Z,0
“The world is a cruel place.” —Mikasa Ackerman,目は心の鏡,2023-03-07T01:20:47Z,0
There are hierarchies in all forms of ideology... it&#39;s human nature... it&#39;s weird to only blame capitalism... it&#39;s so naive,Johnny Canadiana,2023-03-06T22:43:01Z,1
Its because its easy and its what those trying to move to &quot;stakeholder capitalism&quot; would like you to thinkm,hmnc,2023-04-26T12:10:16Z,0
I have always hated neo liberal capitalism. It is main reason for the inequality today. Sadly imf and world bank expects countries to follow that economic model.,AKSHAY GANESH,2023-03-06T21:47:06Z,0
It was hard for me to listen all the way through for the background &#39;noise&#39; &#39;music&#39;. Why not just talk without all of that disturbing noise. I say noise because I can&#39;t describe it as music.,TraSea72,2023-03-06T21:30:19Z,0
"Yet, all the poorest countries in the world are communist.",Fred Davis,2023-03-06T14:53:48Z,1
Bro your name is fabulous.,demonzabrak,2023-03-06T10:55:01Z,0
the reason why they aren’t wealthy is because they have no real skills.,Natalie Amin,2023-03-05T23:11:45Z,2
You watch Figh Club while sleep deprived. You listen to Travis Scott on Acid. You watch Parasite after a 16-hour souble shift.,Bitcoin Zoomer,2023-03-05T04:03:46Z,0
&quot;They recoil at the smell for fear of being confronted with the reality outside of their privileged bubble.&quot;,Tara Belle,2023-03-04T16:15:49Z,0
